feedback_date,feedback_content,label,scene
2025-05-01 14:47:26,有一个单词没翻译语音,缺少中文朗读,
2025-05-02 10:11:21,就不可以重新再把那个诗句再读一遍吧，每次他都要停下来，我还得点太麻烦了，所以请您下次注意点，谢谢。,朗读卡顿重复,
2025-05-02 17:58:23,有些单词没有发音。,发音朗读问题,
2025-05-02 21:36:49,没有跟读 ，建议添加 ,朗读功能优化,希望能有跟读功能辅助发音学习
2025-05-03 07:38:05,读课文顺序有问题。,朗读不自然,
2025-05-04 10:34:42, 播放失败，这些都是我不喜欢播放失败,朗读卡顿重复,
2025-05-05 07:43:11,"
这种页该怎么读英语单词？和英语句子。",Audio_Issues,
2025-05-05 09:11:54,还有一些语音不标准,发音不准确,
2025-05-05 09:53:47,请问180怎么读🙃,发音不准确,
2025-05-05 18:25:35,不要一下读那个一下读这个,朗读卡顿重复,
2025-05-05 21:35:24,点读建议有题读几遍，或者是一直读,朗读功能优化,希望调整朗读次数或节奏
2025-05-05 21:49:47,读的语气有待提高，有点怪～（无恶意） ,朗读不自然,
2025-05-06 18:22:57,不按顺序读，还有一点没有读,朗读卡顿重复,
2025-05-06 18:53:26,发音不准，说的太快,发音不准确,
2025-05-06 19:41:04,可以一句话来回播放,朗读功能优化,反复听读句子，辅助学习发音
2025-05-06 20:22:31,发音不标准，读的很快,发音不准确,
2025-05-06 20:53:07,跟不上，读的有点快,朗读速度问题,
2025-05-06 22:13:49,长的段不要把一个单词分成两个读,朗读卡顿重复,
2025-05-07 20:07:47,没按顺序来读对话,朗读不自然,
2025-05-07 21:07:36,有的没有英文朗读。,缺少中文朗读,
2025-05-08 19:26:07,"顺序有错误
声音不正确",发音不准确,
2025-05-08 20:44:14,"photo没有读音
",发音不准确,
2025-05-08 21:11:37,点读的时候，放连续播放。到最后几个单词的时候，读完了应该是要从头放的，但是它不动了，也没有声音。退出去重进也没有。只显示播放，但是没有声音。,朗读卡顿重复,
2025-05-08 21:33:33,不能自己选择要读的,朗读功能优化,自定义选择需要朗读的内容
2025-05-08 21:37:28, 点不到自己想要读的，一直一直一直读，我要取关了,朗读卡顿重复,
2025-05-08 21:43:12,全读玩但不会在读一遍,朗读卡顿重复,
2025-05-09 20:19:38,有些单词不能读那个音就比如你服务员和警察,发音不准确,
2025-05-10 10:07:08,不能一句话一句话的读。,朗读不自然,
2025-05-10 16:21:28,我点开一个单词，他不给我读想问一下怎么回事,朗读功能优化,学习单词发音，辅助记忆
