content_type,material_source,subject,grade_level,usage_scenario,confidence,image_file,time_period,labeled_at,error,description
cloze_test,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (14)-2.jpg,weekend,2025-12-19T18:08:03.235285,,
writing_assignment,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (15)-2.jpg,weekend,2025-12-19T18:08:03.282865,,
vocabulary_exercise,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (12)-2.jpg,weekend,2025-12-19T18:08:03.284490,,
writing_assignment,homework_book,chinese,grade_10_12,doing_homework,high,拍照翻译列表 (13)-2.jpg,weekend,2025-12-19T18:08:03.289084,,
reading_comprehension,exam_paper,english,grade_7_9,reviewing_exam,high,拍照翻译列表 (12)-3.jpg,weekend,2025-12-19T18:08:03.294874,,
translation_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (11)-3.jpg,weekend,2025-12-19T18:08:03.302848,,
cloze_test,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (10)-2.jpg,weekend,2025-12-19T18:08:03.312505,,
reading_passage,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (13)-1.jpg,weekend,2025-12-19T18:08:03.465834,,
reading_passage,supplementary_book,english,grade_7_9,reading_extra,high,拍照翻译列表 (15)-3.jpg,weekend,2025-12-19T18:08:03.648472,,
homework_worksheet,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (13)-3.jpg,weekend,2025-12-19T18:08:03.678142,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (16)-3.jpg,weekend,2025-12-19T18:08:04.789131,,
grammar_exercise,homework_book,english,grade_7_9,doing_homework,medium,拍照翻译列表 (15)-1.jpg,weekend,2025-12-19T18:08:05.211801,,
cloze_test,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (11)-1.jpg,weekend,2025-12-19T18:08:05.252986,,
vocabulary_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (18)-2.jpg,weekend,2025-12-19T18:08:05.303616,,
vocabulary_exercise,official_textbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (10)-3.jpg,weekend,2025-12-19T18:08:05.323726,,
cloze_test,workbook,english,grade_10_12,doing_exercises,high,拍照翻译列表 (100).jpg,weekend,2025-12-19T18:08:05.352158,,
reading_passage,screen_capture,english,grade_7_9,reading_extra,high,拍照翻译列表 (18)-3.jpg,weekend,2025-12-19T18:08:05.365180,,
grammar_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (18)-1.jpg,weekend,2025-12-19T18:08:05.407187,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (101).jpg,weekend,2025-12-19T18:08:05.409828,,
cloze_test,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (17)-2.jpg,weekend,2025-12-19T18:08:05.431990,,
,,,,,,拍照翻译列表 (20)-1.jpg,weekend,2025-12-19T18:08:06.269774,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (20)-3.jpg,weekend,2025-12-19T18:08:06.487566,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (19)-2.jpg,weekend,2025-12-19T18:08:06.502937,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (2)-3.jpg,weekend,2025-12-19T18:08:06.525299,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (20)-2.jpg,weekend,2025-12-19T18:08:06.533423,请求失败 (尝试 3/3): API错误: Too many requests,
screen_capture,screen_capture,english,unclear,unclear,high,拍照翻译列表 (16)-1.jpg,weekend,2025-12-19T18:08:06.611903,,
,,,,,,拍照翻译列表 (2)-2.jpg,weekend,2025-12-19T18:08:06.639241,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (21)-1.jpg,weekend,2025-12-19T18:08:06.646890,请求失败 (尝试 3/3): API错误: Too many requests,
other,supplementary_book,unclear,unclear,reading_extra,medium,拍照翻译列表 (10)-1.jpg,weekend,2025-12-19T18:08:06.651549,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (17)-1.jpg,weekend,2025-12-19T18:08:06.751840,,
,,,,,,拍照翻译列表 (2)-1.jpg,weekend,2025-12-19T18:08:06.754746,请求失败 (尝试 3/3): API错误: Too many requests,
reading_comprehension,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (14)-1.jpg,weekend,2025-12-19T18:08:06.757476,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (12)-1.jpg,weekend,2025-12-19T18:08:06.758581,,
exam_paper,exam_paper,math,grade_4_6,doing_exercises,high,拍照翻译列表 (14)-3.jpg,weekend,2025-12-19T18:08:06.761160,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (16)-2.jpg,weekend,2025-12-19T18:08:06.765820,,
,,,,,,拍照翻译列表 (21)-3.jpg,weekend,2025-12-19T18:08:06.834058,请求失败 (尝试 3/3): API错误: Too many requests,
translation_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (17)-3.jpg,weekend,2025-12-19T18:08:06.908217,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (19)-1.jpg,weekend,2025-12-19T18:08:07.029830,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (11)-2.jpg,weekend,2025-12-19T18:08:07.112334,,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (23)-2.jpg,weekend,2025-12-19T18:08:07.532491,,
grammar_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (25)-1.jpg,weekend,2025-12-19T18:08:07.582943,,
writing_assignment,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (24)-1.jpg,weekend,2025-12-19T18:08:07.764510,,
homework_worksheet,homework_book,math,grade_7_9,doing_homework,high,拍照翻译列表 (22)-2.jpg,weekend,2025-12-19T18:08:07.776802,,
other,homework_book,math,grade_7_9,doing_homework,high,拍照翻译列表 (22)-3.jpg,weekend,2025-12-19T18:08:07.795283,,
reading_comprehension,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (23)-1.jpg,weekend,2025-12-19T18:08:07.953130,,
reading_passage,screen_capture,english,grade_7_9,reading_extra,high,拍照翻译列表 (23)-3.jpg,weekend,2025-12-19T18:08:07.957817,,
cloze_test,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (22)-1.jpg,weekend,2025-12-19T18:08:08.003216,,
reading_comprehension,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (24)-3.jpg,weekend,2025-12-19T18:08:08.169655,,
vocabulary_exercise,homework_book,english,grade_10_12,doing_homework,high,拍照翻译列表 (24)-2.jpg,weekend,2025-12-19T18:08:08.304616,,
,,,,,,拍照翻译列表 (28)-1.jpg,weekend,2025-12-19T18:08:08.994423,请求失败 (尝试 3/3): API错误: Too many requests,
