feedback_id,设备id,user_id,version,brand,device_model,app_name,反馈图片url,反馈来源,feedback_type,feedback_date,反馈题目id,feedback_content,联系方式
183615056,922720431.0,1070624394.0,11.67.1,vivo,V2352A,小猿搜题,,拍照翻译,翻译不准确,2025-05-01 04:10:19,,怎么不能换成日语呢？,
183620314,905236924.0,736907016.0,11.70.1,HONOR,ALI-AN00,小猿搜题,,拍照翻译,产品建议,2025-05-01 08:27:03,,不敢不敢好吧好吧好好补补好宇不要不要不要不会呀宝贝要一百吧原原本本好不好好宝贝好吧好吧好吧好吧宇V5图趁热吃凑人头趁热吃推迟v他v他v有一个不一样吧v哥哥vu给vuuvvu给v给vv姑父怨天尤人太多次非处方药不不干活办公用房长方体发一次小二儿闲得蛋疼挺丰富vv更应该阳光餐厅台费衣服v工程图土豆粉一个人尺寸如图发一份坟头草腹股沟预付虚浮玉玉呵呵个雨VB托特包兔兔V5v他v给v一个一条腿一套衣服v方特,
183633550,295406205.0,1018668337.0,11.70.1,vivo,V2364A,小猿口算,,拍照翻译,翻译不完整,2025-05-01 10:27:16,,我建议翻译的多一些，比较很详细比较详细一些。,
183636682,176734427.0,653215517.0,11.70.1,vivo,V2334A,小猿口算,,拍照翻译,其他,2025-05-01 10:52:37,,翻译有错。写的不清楚。,
183640144,899525669.0,578845659.0,11.70.1,vivo,V2158A,小猿搜题,,拍照翻译,产品建议,2025-05-01 11:22:28,,我要的是中文，不是英文,
183642000,928975486.0,1086593959.0,11.70.1,HUAWEI,DBY2-W00,小猿搜题,,拍照翻译,其他,2025-05-01 11:39:56,,说的一点也不标准。还把字体识别没了。就根本不是这个意思。我上网上又查了一下，就根本不是这个意思。小学4年级下册怎么会出现这样子的单词呢？,
183645960,286097028.0,501031610.0,11.70.1,vivo,V1813A,小猿口算,,拍照翻译,翻译不准确,2025-05-01 12:26:09,,都写上拼音了啊！😡昂！没实力小猿口算！啥也不是,
183651550,290938249.0,1085756628.0,11.70.1,HONOR,HLK-AL00,小猿口算,,拍照翻译,其他,2025-05-01 13:39:17,,漏了一个句子，没翻译,
183653258,283415196.0,523458177.0,11.70.1,HUAWEI,ICL-AL10,小猿口算,,拍照翻译,翻译不完整,2025-05-01 13:59:37,,有些英文不翻译了！！！！,
183657712,916098407.0,1062149836.0,11.71.0,iPhone,iPhone,小猿搜题,,拍照翻译,翻译不完整,2025-05-01 14:47:26,,有一个单词没翻译语音,
183659474,294933247.0,1066374069.0,11.70.1,Redmi,M2006J10C,小猿口算,,拍照翻译,翻译不完整,2025-05-01 15:05:29,,位置不对！字体不工整！不够准确！,
183659588,182986695.0,420091192.0,11.70.1,OPPO,PDNM00,小猿口算,,拍照翻译,其他,2025-05-01 15:06:32,,回复你根本苏v没撑死你把,
