feedback_date,feedback_content,label,scene
2025-05-01 04:10:19,怎么不能换成日语呢？,翻译语言扩展,学习日语，翻译日语内容
2025-05-02 00:45:12,建议取词汇后可以收藏起来，进入单词本（最好可以生成ward）,单词本收藏,学习积累，保存生词复习
2025-05-02 13:51:59,建议增加单词汇量,功能需求,学习积累，增加词汇量储备
2025-05-02 18:26:21,希望单词能有多一些的中文意思,单词本收藏,学习积累，保存生词复习
2025-05-04 14:47:38,只有中译英或英译中,翻译语言扩展,支持更多语言翻译需求
2025-05-04 17:05:51,为什么不能日译汉？,翻译语言扩展,学习日语，将日语翻译成中文
2025-05-05 12:56:12,能不能两页（正反面）一起翻译？,功能需求,多页文档，提高翻译效率
2025-05-05 13:14:45,有没有翻译文言文的？,翻译语言扩展,学习古文，将文言文翻译成现代汉语
2025-05-05 16:26:25,不能自动写成作文！,功能需求,辅助写作，生成完整作文内容
2025-05-05 21:13:04,很好希望有再多功能,其他功能需求,希望增加更多实用功能
2025-05-06 19:56:37,如果有拼读就更好了,功能需求,辅助学习，帮助单词拼读记忆
2025-05-06 20:28:35,应该添加一个领读再添加一个背诵你们算实在是太差劲👎！,功能需求,学习巩固，跟读背诵单词句子
2025-05-06 21:09:03,一个短语可以连在一起解析的,功能需求,解析短语，识别固定搭配
2025-05-06 21:39:12,可以直接翻译出来吗 。这样的话更加方便 然后直接抄就可以了 这样就不用摁来摁去 ,功能需求,直接翻译，无需额外操作
2025-05-07 20:08:44,建议在加一个功能:可以把中文翻译成英语会更好,翻译语言扩展,中英文互译，拓展语言需求
2025-05-08 22:57:17,建议直接翻译在图片上，不要一个一个点,功能需求,直接在图片上显示翻译结果，无需点击
2025-05-10 10:23:46,希望翻译后能够保存图片,功能需求,保存翻译图片，方便复习查看
2025-05-11 15:14:52,"建议整个句子翻译

单个翻译麻烦

",功能需求,希望整句翻译，避免单句操作繁琐
2025-05-11 17:16:16,建议升级，多国语言的翻译,翻译语言扩展,学习多国语言，满足不同场景翻译需求
2025-05-11 20:24:34,可以一句一句地吗？,功能需求,逐句翻译，方便学习理解
2025-05-12 17:58:41,不能用手写的翻译,功能需求,需要手写输入进行翻译
2025-05-13 20:37:32,能不能设一个整篇文章的翻译,功能需求,翻译整篇文章，提高阅读效率
2025-05-13 21:00:40,手机黑屏的时候，希望也可以读，不能要很多电,功能需求,黑屏状态下使用朗读功能，低电量时可用
2025-05-13 21:56:07,没法一次多选单词,功能需求,学习时多选单词查翻译
2025-05-14 17:36:08,可不可以把“翻译”功能快点优化成可以手写的？？？🥺🥺🥺,功能需求,希望手写输入翻译内容
2025-05-14 22:45:23,希望可以支持翻译文言文,翻译语言扩展,学习古文，翻译文言文内容
2025-05-15 17:10:41,可以有手写体的翻译吗？,功能需求,手写输入，识别并翻译手写文字
2025-05-16 21:30:56,没有文言文翻译吗,翻译语言扩展,学习古文，翻译文言文内容
2025-05-17 01:44:00,为什么只有英文日文韩文不行吗？搜都搜不到，还有只有中译英和英译中太单调了,翻译语言扩展,支持更多语言，如日文韩文翻译
2025-05-17 10:40:31,为什么要一个一个的单词的翻译?,功能需求,希望翻译为完整句子而非单词堆砌
2025-05-17 21:25:08,没有可以翻译日语的。,翻译语言扩展,学习日语，翻译日语内容
2025-05-21 19:12:57,我希望分成很多段,功能需求,阅读长文本，分段显示翻译内容
2025-05-21 21:47:05,能不能有其他语言的原文？,翻译语言扩展,学习多语言，支持其他语言原文翻译
2025-05-22 20:36:35,再加上一个跟读吧,功能需求,学习发音，跟读练习单词或句子
2025-05-22 20:46:48,不能两页一起拍照,功能需求,多页文档批量翻译，提高效率
2025-05-24 21:14:49,为什么没有取词翻译了？取词翻译可以更好的学习生词,功能需求,学习生词，辅助理解和记忆单词
2025-05-25 11:49:58,可以把重难点用红色标出,功能需求,学习重点，标记重难点内容
2025-05-25 16:59:05,建议加个日文翻译。,翻译语言扩展,学习日语，翻译日语内容
2025-05-26 18:13:57,希望能搞成一句的,功能需求,希望翻译结果按句子分段显示
2025-05-26 21:24:29,可以添加翻译成其他的语言,翻译语言扩展,学习多语言，拓展翻译范围
2025-05-28 06:40:03,"课文点读时，如果能一句一句的点读就好了，如果能直接出″仁爱版""的英语点读最好。",功能需求,学习英语，按课文逐句点读
2025-05-28 21:07:31,能不能有翻译古文的功能,翻译语言扩展,学习古文，将古文翻译成现代汉语
2025-05-30 22:13:58,可以在弄点别的语言,翻译语言扩展,学习多语言，拓展翻译范围
2025-05-31 17:29:23,可以除了英语，和中文，还可以加日语，美语还有甲骨文。,翻译语言扩展,学习多语言，满足不同语言翻译需求
2025-06-01 15:53:20,除了英语没有其他语种，不方便小语种学生,翻译语言扩展,小语种学生学习，需要多语言翻译
2025-06-01 22:45:26,"为什么是那种的呀？就是一扫描那个点那个开始键就是只能读一个单词呀，我要反馈，你这个好烦呀。
是吗？






是
",功能需求,希望支持多单词连续朗读
2025-06-02 10:39:23,建议出一个进度条或者句子选读,功能需求,阅读长句时，分段选读或调整进度
2025-06-02 13:00:56,加 一个拍题答疑嘛,功能需求,拍照翻译后需要详细解答题目
2025-06-02 18:55:45,希望可以翻译其他的语言。快点快点看要有日语俄语还有韩子语,翻译语言扩展,学习外语，翻译日韩俄等语言
2025-06-03 18:36:39,"加入可以让我们选择是一个单词翻，
还是一段翻",功能需求,选择单词或段落进行翻译
2025-06-03 18:44:25,可以多一种模式，英语可以在同一个页面翻译,功能需求,多模式翻译，同一页面显示
2025-06-03 19:32:53,我建议把我写的也翻译了，这样我能知道我写的是对的还是不对的,功能需求,检查自己写的内容是否正确翻译
2025-06-04 22:28:22,不可以圈画重要的,功能需求,标记重点内容辅助翻译
2025-06-05 13:53:28,为什么不能一次性翻译一篇文章,功能需求,翻译多篇文章，提高学习效率
2025-06-05 20:05:03,"想把两张一起放在一起翻译，但是他只能翻译一张
",功能需求,多图同时翻译，提高效率
2025-06-06 20:18:28,"建议连成一个句子来翻译


",Feature_Requests,希望翻译结果能连成完整句子
2025-06-06 21:40:43,你要是能翻译其他的语言就行了。,翻译语言扩展,学习多语言，拓展翻译范围
2025-06-06 22:47:08,能直接翻译成一篇文章,Feature_Requests,将短句翻译整合为完整文章
2025-06-08 14:55:39,可以有文言文翻译,翻译语言扩展,学习古文，将文言文翻译成现代汉语
2025-06-08 22:24:54,能不能多语言切换？,翻译语言扩展,多语言互译，满足不同语言需求
2025-06-09 17:46:35,可以选择多个国家的语言,翻译语言扩展,多语言学习，支持不同国家语言翻译
2025-06-09 21:20:45,"可以翻译其他语言吗
",翻译语言扩展,学习多语言，拓展翻译范围
2025-06-10 22:01:15,增加一个放大和语音功能,功能需求,查看翻译结果时放大文字，听语音朗读
2025-06-11 19:57:34,把单词的意思也翻译出来。好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？不好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？好不好？1111111111111111111111111111111111111,功能需求,学习单词，获取准确释义
2025-06-11 21:50:35,希望可以整句整句的翻译,功能需求,希望整句翻译，提升阅读效率
2025-06-11 22:21:28,支持更多种语言的翻译,翻译语言扩展,学习多语言，满足不同场景翻译需求
2025-06-13 07:46:28,是否可以一键提取文字,功能需求,快速提取图片中的文字内容
2025-06-13 19:48:34,产品建议：多国语言,翻译语言扩展,学习多国语言，满足不同场景需求
2025-06-13 22:24:49,让他可以翻译成句子，也可以让他说话🗣️,功能需求,翻译句子并支持语音朗读
